Name, Latitude, Longitude
Southeastern University, 28.0144° N, 81.9444° W
The University of Tampa, 27.9465° N, 82.4584° W
Trinity Baptist College, 30.2897° N, 81.7339° W
Warner University, 27.9883° N, 81.6286° W
Webber International University, 27.9159° N, 81.5898° W
Rasmussen College-Florida, 28.6682° N, 81.3894° W
The University of West Florida, 30.5493° N, 87.2185° W
Abraham Baldwin Agricultural College, 31.5389° N, 83.8262° W
Agnes Scott College, 33.7684° N, 84.2963° W
Albany State University, 31.5970° N, 84.1600° W
Andrew College, 31.9892° N, 84.2078° W
Armstrong Atlantic State University, 32.0324° N, 81.0973° W
Point University, 32.8340° N, 85.1710° W
Clark Atlanta University, 33.7489° N, 84.3900° W
Berry College, 34.2992° N, 85.1894° W
Brenau University, 34.3078° N, 83.8255° W
Brewton-Parker College, 32.1709° N, 82.4168° W
Brown College of Court Reporting, 33.9397° N, 84.1537° W
College of Coastal Georgia, 31.2387° N, 81.4957° W
Clayton State University, 33.5526° N, 84.3239° W
Columbus State University, 32.4728° N, 84.9702° W
Covenant College, 34.9813° N, 85.3748° W
South University-Savannah, 32.0185° N, 81.0942° W
Emmanuel College, 34.4308° N, 83.1219° W
Emory University, 33.7925° N, 84.3234° W
Fort Valley State University, 32.5549° N, 83.8908° W
Georgia Institute of Technology-Main Campus, 33.7756° N, 84.3963° W
Georgia Southwestern State University, 32.0223° N, 84.2319° W
Georgia College and State University, 33.0777° N, 83.2308° W
Georgia Southern University, 32.4257° N, 81.7832° W
Georgia State University, 33.7537° N, 84.3867° W
University of Georgia, 33.9558° N, 83.3749° W
Gordon State College, 33.1936° N, 84.1456° W
Kennesaw State University, 34.0364° N, 84.5824° W
LaGrange College, 33.0351° N, 85.0352° W
Life University, 33.9317° N, 84.5467° W
Herzing University-Atlanta, 33.9205° N, 84.3505° W
Mercer University, 32.8328° N, 83.6496° W
Morehouse College, 33.7451° N, 84.4157° W
Oglethorpe University, 33.8747° N, 84.3277° W
Paine College, 33.4718° N, 81.9943° W
Piedmont College, 34.5489° N, 83.7616° W
Portfolio Center, 33.8276° N, 84.3514° W
Reinhardt University, 34.3417° N, 84.4737° W
Savannah College of Art and Design, 32.0777° N, 81.0907° W
Savannah State University, 32.0374° N, 81.0483° W
Shorter University, 34.2426° N, 85.1647° W
Spelman College, 33.7454° N, 84.4119° W
Southern Polytechnic State University, 33.9342° N, 84.5145° W
Thomas University, 30.8265° N, 83.9785° W
Toccoa Falls College, 34.5936° N, 83.3656° W
Truett-McConnell College, 34.3496° N, 84.3086° W
Valdosta State University, 30.8483° N, 83.2875° W
Wesleyan College, 32.8769° N, 83.6931° W
University of West Georgia, 33.5744° N, 85.0964° W
Young Harris College, 34.9408° N, 83.8622° W
Chaminade University of Honolulu, 21.2944° N, 157.8158° W
University of Hawaii at Hilo, 19.6973° N, 155.0865° W
University of Hawaii at Manoa, 21.2969° N, 157.8171° W
Hawaii Pacific University, 21.3086° N, 157.8616° W
Med-Assist School of Hawaii Inc, 21.3057° N, 157.8607° W
University of Hawaii-West Oahu, 21.3357° N, 158.0802° W
Carrington College-Boise, 43.6269° N, 116.2437° W
Boise Bible College, 43.6536° N, 116.3676° W
Boise State University, 43.6032° N, 116.1966° W
University of Idaho, 46.7324° N, 117.0002° W
The College of Idaho, 43.6774° N, 116.3649° W
Lewis-Clark State College, 46.4175° N, 117.0285° W
ITT Technical Institute-Boise, 43.6026° N, 116.2915° W
Northwest Nazarene University, 43.5882° N, 116.5838° W
Brigham Young University-Idaho, 43.8269° N, 111.7890° W
American Academy of Art, 41.8799° N, 87.6278° W
School of the Art Institute of Chicago, 41.8800° N, 87.6239° W
Augustana College, 41.5034° N, 90.5474° W
Aurora University, 41.7573° N, 88.3442° W
Blackburn College, 39.0964° N, 89.7753° W
Bradley University, 40.6972° N, 89.6162° W
Chicago State University, 41.7187° N, 87.6086° W
University of Chicago, 41.7896° N, 87.5996° W
Columbia College-Chicago, 41.8745° N, 87.6243° W
Concordia University-Chicago, 41.8357° N, 87.8367° W
DePaul University, 41.9218° N, 87.6513° W
Eastern Illinois University, 39.4790° N, 88.1768° W
Elmhurst College, 41.8986° N, 87.9416° W
Eureka College, 40.7131° N, 89.2763° W
Fox College, 41.7304° N, 88.0774° W
Graham Hospital School of Nursing, 40.9159° N, 89.3698° W
Greenville College, 38.8959° N, 89.4094° W
Hebrew Theological College, 42.0206° N, 87.7148° W
University of Illinois at Chicago, 41.8719° N, 87.6493° W
Benedictine University, 41.8119° N, 88.0843° W
University of Illinois at Urbana-Champaign, 40.1092° N, 88.2272° W
Illinois Wesleyan University, 40.5094° N, 88.9937° W
Illinois College, 39.7325° N, 90.2318° W
Illinois Institute of Technology, 41.8349° N, 87.6270° W
Illinois State University, 40.5100° N, 88.9906° W
Judson University, 42.0962° N, 88.3052° W
Kendall College, 41.9101° N, 87.6489° W
Knox College, 40.9446° N, 90.3736° W
Lake Forest College, 42.2529° N, 87.8406° W
Lewis University, 41.6028° N, 88.0834° W
Lincoln Christian University, 40.1637° N, 89.3606° W
Lincoln College, 40.1466° N, 89.3651° W
Loyola University Chicago, 41.9995° N, 87.6570° W
MacMurray College, 39.7241° N, 90.2271° W
McKendree University, 38.7294° N, 89.9502° W
Midstate College, 40.7454° N, 89.6158° W
Millikin University, 39.8649° N, 88.9702° W
Monmouth College, 40.9133° N, 90.6461° W
Moody Bible Institute, 41.8905° N, 87.6265° W
National Louis University, 41.8883° N, 87.6257° W
North Central College, 41.7706° N, 88.1485° W
North Park University, 41.9755° N, 87.7092° W
Northern Illinois University, 41.9342° N, 88.7738° W
Northwestern College-Chicago Campus, 41.9755° N, 87.7092° W
Northwestern University, 42.0582° N, 87.6733° W
Northeastern Illinois University, 41.9809° N, 87.7194° W
Olivet Nazarene University, 41.1912° N, 87.7711° W
Quincy University, 39.9361° N, 91.4099° W
Robert Morris University Illinois, 41.9879° N, 87.7617° W
Rockford University, 42.2755° N, 89.0175° W
Roosevelt University, 41.8764° N, 87.6245° W
Dominican University, 41.8994° N, 87.8413° W
University of St Francis, 41.5621° N, 88.1296° W
Saint Xavier University, 41.7022° N, 87.7195° W
University of Illinois at Springfield, 39.7690° N, 89.6537° W
Shimer College, 41.7808° N, 87.5825° W
National Latino Education Institute, 41.8503° N, 87.6913° W
Southern Illinois University-Carbondale, 37.7159° N, 89.2210° W
Southern Illinois University-Edwardsville, 38.7893° N, 89.9880° W
Taylor Business Institute, 41.8797° N, 87.6273° W
Telshe Yeshiva-Chicago, 41.9972° N, 87.6950° W
Trinity Christian College, 41.6777° N, 87.7867° W
Trinity International University-Illinois, 42.4577° N, 88.1043° W
VanderCook College of Music, 41.8479° N, 87.6222° W
Western Illinois University, 40.4720° N, 90.6817° W
Wheaton College, 41.8675° N, 88.1058° W
Anderson University, 40.1094° N, 85.6769° W
Ball State University, 40.1984° N, 85.4088° W
Bethel College-Indiana, 41.6745° N, 86.1795° W
Butler University, 39.8474° N, 86.1719° W
Calumet College of Saint Joseph, 41.6283° N, 87.4981° W
DePauw University, 39.6372° N, 86.8612° W
Earlham College, 39.8341° N, 84.9179° W
University of Evansville, 37.9733° N, 87.5371° W
Franklin College, 39.4829° N, 86.0592° W
Goshen College, 41.5737° N, 85.8297° W
Grace College and Theological Seminary, 41.2284° N, 85.8530° W
Hanover College, 38.7077° N, 85.4660° W
Holy Cross College, 41.7025° N, 86.2342° W
Huntington University, 40.8869° N, 85.5031° W
Indiana University-Purdue University-Fort Wayne, 41.1200° N, 85.1089° W
Indiana University-Purdue University-Indianapolis, 39.7725° N, 86.1705° W
Harrison College-Indianapolis, 39.8349° N, 86.1248° W
University of Indianapolis, 39.7099° N, 86.1229° W
Indiana Institute of Technology, 41.0681° N, 85.1484° W
University of Southern Indiana, 37.9746° N, 87.5366° W
Indiana State University, 39.4689° N, 87.4139° W
Indiana University-Kokomo, 40.4826° N, 86.1326° W
Indiana University-South Bend, 41.6814° N, 86.2548° W
Indiana University-Bloomington, 39.1653° N, 86.5264° W
Indiana University-Northwest, 41.5594° N, 87.3494° W
Indiana University-Southeast, 38.3331° N, 85.8127° W
Indiana University-East, 39.8362° N, 84.8902° W
